benchmark,grid_index,scan_parameter,scan_value,objective_half_chi2,objective_delta_half_chi2,nuisance,status,boundary
B6,17,k,0.6946522035099544,289.60795303878587,282.9458237476879,"{""C"": 1.2457757344825913}",PASS,False
B6,18,k,0.7474385637693103,664.1515170140538,657.4893877229558,"{""C"": 1.2537564132121881}",PASS,False
B6,19,k,0.8042361397353917,1216.5451487102484,1209.8830194191505,"{""C"": 1.251309970952595}",PASS,False
B6,20,k,0.8653497421844449,1961.068399829001,1954.406270537903,"{""C"": 1.2373920601516386}",PASS,False
B6,21,k,0.9311073443492158,2908.054830551163,2901.3927012600648,"{""C"": 1.211019263525394}",PASS,False
B6,22,k,1.001861842025326,4061.6830656918455,4055.0209364007474,"{""C"": 1.1713429225502663}",PASS,False
B6,23,k,1.0779929474274743,5417.106729413078,5410.44460012198,"{""C"": 1.117774191718118}",PASS,False
B6,24,k,1.1599092269590576,6956.875042305872,6950.212913014774,"{""C"": 1.0501670146746502}",PASS,False
B6,25,k,1.2480502938311424,8646.74302769412,8640.080898403021,"{""C"": 0.9690757552263327}",PASS,False
B6,26,k,1.3428891672977286,10431.315584002741,10424.653454711643,"{""C"": 0.8760650164911373}",PASS,False
B6,27,k,1.444934811168415,12230.132866843309,12223.47073755221,"{""C"": 0.7736907866548105}",PASS,False
B6,28,k,1.5547348652216917,13933.339196999937,13926.677067708839,"{""C"": 0.6648585969374704}",PASS,False
B6,29,k,1.6728785841772988,15403.221656458409,15396.55952716731,"{""C"": 0.5572363439469386}",PASS,False
B6,30,k,1.8000000000000003,16544.72905909491,16538.066929803812,"{""C"": 0.475405282788787}",PASS,False
